CLN3(uM),Whi3(uM),feature
0.2755374195827665,0.01809193546572846,0.0
0.1358885436548327,0.01809193546572846,0.0
0.05331658229969174,0.01809193546572846,0.0
0.0268468851674658,0.01809193546572846,0.0
0.004983298818947808,0.01809193546572846,0.0
0.0026707704893072118,0.01809193546572846,0.0
0.0004957464280129595,0.01809193546572846,0.0
0.0026707704893072118,0.03654889501975824,0.0
0.0004957464280129595,0.03654889501975824,0.0
0.2755374195827665,0.07486028858971001,0.0
0.1358885436548327,0.07486028858971001,0.0
0.05331658229969174,0.07486028858971001,0.0
0.0268468851674658,0.07486028858971001,0.0
0.004983298818947808,0.07486028858971001,0.0
0.0026707704893072118,0.07486028858971001,0.0
0.0004957464280129595,0.07486028858971001,1.0
0.2755374195827665,0.18597778795298606,0.0
0.1358885436548327,0.18597778795298606,0.0
0.05331658229969174,0.18597778795298606,0.0
0.0268468851674658,0.18597778795298606,1.0
0.004983298818947808,0.18597778795298606,1.0
0.0026707704893072118,0.18597778795298606,1.0
0.0004957464280129595,0.18597778795298606,1.0
0.2755374195827665,0.37056318922327863,0.0
0.1358885436548327,0.37056318922327863,1.0
0.05331658229969174,0.37056318922327863,1.0
0.0268468851674658,0.37056318922327863,1.0
0.004983298818947808,0.37056318922327863,1.0
0.0026707704893072118,0.37056318922327863,1.0
0.0004957464280129595,0.37056318922327863,1.0
0.2755374195827665,0.7383520296630259,0.0
0.1358885436548327,0.7383520296630259,1.0
0.05331658229969174,0.7383520296630259,1.0
0.0268468851674658,0.7383520296630259,1.0
0.004983298818947808,0.7383520296630259,1.0
0.0026707704893072118,0.7383520296630259,1.0
0.0004957464280129595,0.7383520296630259,1.0
0.2755374195827665,1.8343113524438417,0.0
0.1358885436548327,1.8343113524438417,1.0
0.05331658229969174,1.8343113524438417,1.0
0.0268468851674658,1.8343113524438417,1.0
0.004983298818947808,1.8343113524438417,1.0
0.0026707704893072118,1.8343113524438417,1.0
0.0004957464280129595,1.8343113524438417,1.0
0.2755374195827665,3.6548895019758243,1.0
0.1358885436548327,3.6548895019758243,1.0
0.05331658229969174,3.6548895019758243,1.0
0.0268468851674658,3.6548895019758243,1.0
0.004983298818947808,3.6548895019758243,1.0
0.0026707704893072118,3.6548895019758243,1.0
0.0004957464280129595,3.6548895019758243,1.0
0.2755374195827665,7.38352029663026,1.0
0.1358885436548327,7.38352029663026,1.0
0.05331658229969174,7.38352029663026,1.0
0.0268468851674658,7.38352029663026,1.0
0.004983298818947808,7.38352029663026,1.0
0.0026707704893072118,7.38352029663026,1.0
0.0004957464280129595,7.38352029663026,1.0
